ZSD_min,ZSD_5percentile,uo_max,vo_max,vo_mean,uo_mean,KD490_min,Med_distance-from-port-4km,vessel_density_4km,dist_city,dist_river,mediterranean_KE_currents,NO3_5percentile,OA_mean,OA_min,PO4_95percentile,PO4_min,SWH_min,mean_number_mhws,mean_intensity_mhws,CHL-a_90percentile,O2_5percentile,O2_min,SST_sd,SST_95percentile,SAL_5percentile,SSH_mean,SAL_s,pixel_indices,lat,lon
1.5624542,6.827760696411133,0.13489865,0.07014267,-0.0037190558,-0.018709721,0.056377493,2.355734,0.1889834,40.502875356904646,6.033392985383263,1.82875,9.785764694213867,8.111828,7.9314117,0.03131201714277268,0.004811287,1.9050001,1.9,1.8440885322623266,0.6937490105628967,254.67446899414062,215.65353,6.310786642716908,299.1849853515625,35.883663177490234,-0.40294525,0.8332500177675065,1115.0,45.66219054001362,13.279166666854632
1.4689918,6.581780433654785,0.15491636,0.09529068,-0.008873162,-0.020633254,0.055221647,2.355734,0.0,37.26637033692063,4.423541061379009,2.574135,9.769850730895996,8.112527,7.9335318,0.026129638403654103,0.0032709455,1.9160001,1.85,1.866596475492323,0.6538300275802613,253.262451171875,216.58844,6.310786642716908,299.1849853515625,35.86577224731445,-0.40355214,0.8242504167625082,1116.0,45.66219054001362,13.320833333522362
1.5532553,6.504478216171265,0.15172829,0.09923319,-0.011233266,-0.026385501,0.05509668,2.3306403,0.0,34.03021506488719,2.3962610015970705,3.474823,10.344433784484863,8.112302,7.9359136,0.02352531179785729,0.0031201749,1.8780001,1.75,1.8431510173312013,0.6140301942825318,252.7087860107422,218.52544,6.300684301791926,299.2309906005859,35.744361877441406,-0.40407738,0.8328971241081523,1117.0,45.66219054001362,13.362500000190096
1.5802495,6.388619899749756,0.15166,0.09614741,-0.01478092,-0.03721551,0.054770574,0.7768801,0.0,0.0,0.0,5.118124,11.34890365600586,8.11123,7.93777,0.02169314175844193,0.0029932966,1.8140001000000001,1.75,1.8431510173312013,0.5830307602882385,253.7843475341797,220.67278,6.289394730907682,299.2069885253906,35.66451644897461,-0.40460017,0.8680681063917828,1118.0,45.66219054001362,13.404166666857826
1.5208809,6.033924102783203,0.14622644,0.11381172,-0.02322971,-0.045014292,0.05488108,3.4250693,0.0,0.0,0.0,7.406003,12.536430358886719,8.108736,7.938857,0.02323679551482201,0.004006129,1.7290001,1.95,1.7101899310974653,0.6055327057838442,254.75576782226562,221.82169,6.278215659444329,299.2799987792969,35.49936294555664,-0.4052218,0.906731174966256,1119.0,45.66219054001362,13.445833333525558
1.4608557,6.50091028213501,0.13871929,0.106003225,-0.02512663,-0.046161704,0.053896822,4.558441,0.10177173,24.32525582756676,9.488725747751015,5.444642,12.823390007019043,8.105793,7.9396963,0.023232854530215265,0.0061895503,1.4490001000000001,1.95,1.7101899310974653,0.6223475217819215,257.487548828125,222.87425,6.2787049795328045,299.1609832763672,35.5352783203125,-0.40654764,0.9683455274134664,1120.0,45.66219054001362,13.48750000019329
1.4440033,6.821492671966553,0.10924467,0.092820704,-0.03384555,-0.039563008,0.053095914,7.745232,0.10177173,21.09233868378942,12.651380928102851,0.244038,12.96655559539795,8.102984,7.939372,0.0234618965536356,0.008799661,1.2900001,1.95,1.7101899310974653,0.6275423169136047,260.1294860839844,224.08676,6.284368140657689,299.05699462890624,35.72148132324219,-0.40818128,1.0449508128726732,1121.0,45.66219054001362,13.529166666861022
1.4087672,7.15296745300293,0.10663554,0.0728282,-0.019257372,-0.028199842,0.05112613,7.745232,0.059754416,17.861394679553335,15.844264647445977,0.302489,12.28082275390625,8.099044,7.9364104,0.023558967933058738,0.007106863,1.136,1.85,1.709318190449335,0.6202670931816102,262.2116394042969,224.60475,6.284368140657689,299.05699462890624,36.20643997192383,-0.4096959,1.235473598970491,1122.0,45.66219054001362,13.570833333528753
1.3645175,7.010778903961182,0.102930784,0.08085101,-0.017787334,-0.018581696,0.051344126,5.425189,1.5079631,14.63373196967123,19.05218465646004,0.258336,11.607063293457031,8.096795,7.9317884,0.023972539231181145,0.0058460054,1.01,1.85,1.7147578222350666,0.6199837565422058,263.3933410644531,225.28455,6.29143589500482,298.8809844970703,36.84192657470703,-0.41094136,1.2664478565619155,1123.0,45.66219054001362,13.612500000196484
1.3609858,6.797231197357178,0.103254825,0.1013665,-0.019133814,-0.010195522,0.052517317,1.5537602,1.5079631,11.412136255101379,22.26864304326657,0.073575,11.383851051330566,8.095004,7.9287853,0.023491191491484643,0.0047025476,0.89300007,1.85,1.7147578222350666,0.5972373008728028,263.7239685058594,225.84503,6.297961132909663,298.8009979248047,37.068260192871094,-0.41213208,1.1225050406659918,1124.0,45.66219054001362,13.654166666864217
1.3893747,6.458355665206909,0.1111068,0.1369376,-0.012481732,-0.0069464375,0.059080712,0.0,0.14831144,8.203759518003542,25.4904071105742,0.06714,11.34161376953125,8.093745,7.9274287,0.023036635294556622,0.0040297313,0.75900006,1.85,1.694149858140801,0.5840261220932007,263.76220703125,226.26143,6.3048385576534605,298.7619995117187,37.2774658203125,-0.41310772,0.9595592609329896,1125.0,45.66219054001362,13.695833333531947
1.326354,5.013908624649048,0.1111068,0.1369376,-0.012481732,-0.0069464375,0.057683334,1.5537602,0.14831144,5.033942526064905,28.71569037242183,0.06714,11.34161376953125,8.093745,7.9274287,0.023036635294556622,0.0040297313,0.75900006,1.85,1.7226445556247472,0.5840261220932007,263.76220703125,226.26143,6.311830203147197,298.7599792480469,37.2774658203125,-0.41310772,0.9595592609329896,1126.0,45.66219054001362,13.73750000019968
1.3357983,5.806967735290527,0.14546508,0.06798338,-0.0065190084,-0.012131069,0.0607868,9.073274,0.0,54.6989622088559,5.845897811300768,0.852284,11.143645286560059,8.118052,7.9517045,0.03927163109183312,0.009614135,1.9130001,2.05,1.7418612156723645,0.727143669128418,259.036376953125,213.3369,6.386653056098491,299.2389862060547,35.34899139404297,-0.39654696,0.720736382133821,1421.0,45.6204354560175,12.98750000018051
1.3421917,6.025675535202026,0.15891935,0.075940184,-0.008763367,-0.021847287,0.060077593,7.0673394,0.0,57.727357678923255,9.062851865933064,0.321371,10.743985176086426,8.118682,7.9527335,0.036852586269378665,0.009824286,1.9420002,2.05,1.7418612156723645,0.7020182847976686,258.0367736816406,214.3064,6.355690308906737,299.23399353027344,35.32722091674805,-0.397127,0.7327625907039551,1422.0,45.6204354560175,13.02916666684824
1.3618946,6.435970306396484,0.15378764,0.08136806,-0.020256817,-0.04722162,0.06250923,7.0673394,0.0,56.79210736069725,10.993300699020528,0.070213,10.673534393310547,8.118958,7.9537454,0.03831603974103928,0.011815768,1.9540001,1.95,1.751349102810532,0.6778717279434205,257.5198059082031,214.69325,6.355690308906737,299.23399353027344,35.20364761352539,-0.39778322,0.783157947557218,1423.0,45.6204354560175,13.070833333515974
